TA_T1_2_1_Avg,SW_IN_T1_1_1_Avg,TIMESTAMP_MIDDLE
11.1,-6.0,2024-03-31 23:59:30
11.1,-6.1,2024-04-01 00:00:30
11.0,-6.3,2024-04-01 00:01:30
11.0,-6.6,2024-04-01 00:02:30
11.0,-6.4,2024-04-01 00:03:30
11.0,-6.0,2024-04-01 00:04:30
11.1,-5.5,2024-04-01 00:05:30
11.1,-5.5,2024-04-01 00:06:30
11.1,-5.9,2024-04-01 00:07:30
11.1,-6.1,2024-04-01 00:08:30
11.0,-6.5,2024-04-01 00:09:30
11.0,-6.1,2024-04-01 00:10:30
11.1,-6.1,2024-04-01 00:11:30
11.0,-6.4,2024-04-01 00:12:30
10.9,-7.0,2024-04-01 00:13:30
10.9,-7.1,2024-04-01 00:14:30
10.9,-6.9,2024-04-01 00:15:30
11.0,-6.7,2024-04-01 00:16:30
10.9,-6.7,2024-04-01 00:17:30
10.9,-6.5,2024-04-01 00:18:30
11.1,-5.5,2024-04-01 00:19:30
11.2,-5.6,2024-04-01 00:20:30
11.1,-5.9,2024-04-01 00:21:30
11.1,-6.2,2024-04-01 00:22:30
11.1,-6.1,2024-04-01 00:23:30
11.1,-6.5,2024-04-01 00:24:30
10.9,-6.9,2024-04-01 00:25:30
10.9,-6.6,2024-04-01 00:26:30
10.9,-6.9,2024-04-01 00:27:30
10.9,-6.7,2024-04-01 00:28:30
10.9,-5.7,2024-04-01 00:29:30
11.1,-5.5,2024-04-01 00:30:30
11.0,-5.9,2024-04-01 00:31:30
11.0,-5.8,2024-04-01 00:32:30
11.0,-6.2,2024-04-01 00:33:30
10.9,-6.4,2024-04-01 00:34:30
11.0,-6.2,2024-04-01 00:35:30
11.0,-6.3,2024-04-01 00:36:30
10.9,-6.5,2024-04-01 00:37:30
10.9,-6.8,2024-04-01 00:38:30
11.0,-5.5,2024-04-01 00:39:30
11.1,-5.3,2024-04-01 00:40:30
11.0,-5.8,2024-04-01 00:41:30
11.0,-6.2,2024-04-01 00:42:30
11.0,-5.5,2024-04-01 00:43:30
11.0,-5.7,2024-04-01 00:44:30
11.0,-5.8,2024-04-01 00:45:30
11.3,-4.3,2024-04-01 00:46:30
11.4,-4.3,2024-04-01 00:47:30
11.4,-4.5,2024-04-01 00:48:30
11.3,-5.8,2024-04-01 00:49:30
11.2,-6.4,2024-04-01 00:50:30
11.2,-5.7,2024-04-01 00:51:30
11.3,-5.2,2024-04-01 00:52:30
11.4,-5.3,2024-04-01 00:53:30
11.4,-5.1,2024-04-01 00:54:30
11.4,-4.9,2024-04-01 00:55:30
11.3,-5.3,2024-04-01 00:56:30
11.4,-4.9,2024-04-01 00:57:30
11.3,-5.0,2024-04-01 00:58:30
11.3,-5.5,2024-04-01 00:59:30
11.2,-5.6,2024-04-01 01:00:30
11.1,-6.1,2024-04-01 01:01:30
11.0,-6.8,2024-04-01 01:02:30
10.9,-6.8,2024-04-01 01:03:30
11.0,-6.0,2024-04-01 01:04:30
11.0,-5.6,2024-04-01 01:05:30
11.1,-5.3,2024-04-01 01:06:30
11.1,-5.6,2024-04-01 01:07:30
11.4,-3.2,2024-04-01 01:08:30
11.5,-3.5,2024-04-01 01:09:30
11.5,-4.2,2024-04-01 01:10:30
11.4,-5.1,2024-04-01 01:11:30
11.3,-5.4,2024-04-01 01:12:30
11.3,-5.0,2024-04-01 01:13:30
11.4,-4.5,2024-04-01 01:14:30
11.4,-4.9,2024-04-01 01:15:30
11.4,-5.0,2024-04-01 01:16:30
11.3,-5.2,2024-04-01 01:17:30
11.2,-5.7,2024-04-01 01:18:30
11.3,-5.2,2024-04-01 01:19:30
11.3,-5.5,2024-04-01 01:20:30
11.3,-5.8,2024-04-01 01:21:30
11.2,-6.5,2024-04-01 01:22:30
11.1,-6.1,2024-04-01 01:23:30
11.2,-5.7,2024-04-01 01:24:30
11.3,-5.8,2024-04-01 01:25:30
11.3,-5.4,2024-04-01 01:26:30
11.4,-4.8,2024-04-01 01:27:30
11.5,-4.6,2024-04-01 01:28:30
11.5,-5.0,2024-04-01 01:29:30
11.4,-5.2,2024-04-01 01:30:30
