file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,variances,,,,,,covariances,,,custom_variables,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,data_size_irga75_mean,status_code_irga75_mean,ga_diag_code_irga75_mean,agc_mean,air_t_mean,air_p_mean,cooler_v_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--
CH-FRU_202403290100.csv,2024-03-29,01:30,89.0624,0,36000,36000,-0.979331E-01,1,0.129247E-01,-96.7624,0,7.27465,57.1939,0,3.66716,3.93396,0,0.536761,1.28198,0,0.821983E-01,-9999,-9999,-9999,-9999,0.103758E-09,0.136118E-11,16.3843,430.384,432.828,0.300000,0,214.942,5.64612,5.67818,0.300000,0,283.934,283.427,89867.0,1.10228,1008.37,0.262681E-01,0.830726E-01,0.387326E-02,506.626,1247.08,0.351386E-02,40.6251,740.451,270.598,3.24722,1.76105,0.172986,3.69806,-0.217186E-13,0.633278E-14,3.69806,9.41783,151.272,28.4722,2.68114,-9999,0.298070,1.38377,22.1013,0.100899,-1.69183,0.292064,0,24.2474,-3.67964,8.32336,20.7264,31.6090,44.3321,66.4175,-0.963569E-01,1.01636,-90.8817,1.03563,46.0263,1.29962,6.47542,1.29962,1.03167,1.29962,800000099,800000099,800000099,800000099,800000099,800000099,800000199,800000199,81100,81100,80,80,3,17,11,16,25,27,1.35547,1.17313,0.238939,0.252349,0.170879E-02,38.7834,-0.817647E-01,0.647542E-02,1.03167,16.0000,0.00000,249.000,56.2500,282.216,88941.6,1.16360
CH-FRU_202403290100.csv,2024-03-29,02:00,89.0833,0,36000,36000,-0.852322E-01,1,0.104994E-01,-92.7752,0,7.49011,50.0090,0,3.57825,3.73682,0,0.601468,1.12109,0,0.802160E-01,0.211855,0.168297,-0.600822E-02,0.377282E-02,0.269408E-09,0.357995E-11,16.3717,430.270,432.745,0.300000,0,217.550,5.71751,5.75039,0.300000,0,284.078,283.564,89867.0,1.10172,1008.41,0.262814E-01,0.726464E-01,0.392025E-02,513.021,1258.56,0.355831E-02,40.7624,745.544,270.767,3.27010,1.20951,0.162283,3.49039,0.603083E-15,0.164557E-13,3.49039,9.52254,158.837,20.2979,2.66488,-9999,0.278142,1.90568,18.7302,0.119059,-1.85517,0.300233,0,21.7974,-3.30784,7.48235,18.6321,28.4152,39.8527,59.7066,-0.838265E-01,1.01677,-87.3144,1.03630,40.1422,1.30988,6.16590,1.30988,0.899895,1.30988,800000099,800000099,800000099,800000099,800000099,800000099,800000199,800000199,81100,81100,80,80,31,12,5,4,7,16,1.69658,1.84324,0.271541,0.256152,0.197704E-02,35.9497,-0.785923E-01,0.616590E-02,0.899895,16.0000,0.711111,249.000,56.2500,282.354,88867.5,1.16531
CH-FRU_202403290100.csv,2024-03-29,02:30,89.1041,0,36000,36000,-0.208365,1,0.239327E-01,-131.459,0,8.74439,81.4265,0,4.84131,5.23835,0,0.670516,1.82633,0,0.108587,0.827270,-0.137880,-0.155661E-01,-0.309254E-02,-0.997751E-10,-0.131314E-11,16.3298,429.975,432.422,0.250000,0,214.916,5.65889,5.69109,0.250000,0,284.611,284.101,89867.0,1.09966,1008.39,0.263307E-01,0.118346,0.387279E-02,507.770,1304.42,0.352181E-02,38.9269,796.649,270.629,4.49990,1.38208,0.250443,4.71401,0.193803E-12,-0.610999E-14,4.71401,12.8983,163.014,17.0736,3.04541,-9999,0.435295,3.25890,50.6684,0.440117E-01,-1.61445,0.272346,0,25.4743,-3.86582,8.74450,21.7751,33.2083,46.5752,69.7781,-0.205197,1.01544,-123.334,1.03457,66.8174,1.27160,8.86169,1.27160,1.49866,1.27160,800000099,800000099,800000099,800000099,800000099,800100099,800000199,801000199,81100,81100,80,80,15,12,8,30,44,40,2.76481,3.30256,0.450430,0.230572,0.161221E-02,42.8996,-0.111224,0.886169E-02,1.49866,16.0000,0.653333,249.000,56.2500,282.928,88808.6,1.17604
CH-FRU_202403290100.csv,2024-03-29,03:00,89.1249,0,36000,36000,-0.280190,1,0.288613E-01,-138.086,0,8.70103,88.6418,0,4.50194,5.27246,0,0.669676,1.98895,0,0.101015,0.636868,0.172483,-0.754871E-03,0.387019E-02,0.209307E-09,0.279054E-11,16.3051,429.961,432.440,0.300000,0,217.385,5.73237,5.76542,0.250000,0,285.033,284.515,89867.0,1.09803,1008.43,0.263697E-01,0.128884,0.391727E-02,514.351,1340.76,0.356756E-02,38.3626,826.412,270.802,5.47102,1.34438,0.329480,5.64340,0.126581E-13,0.128369E-13,5.64340,13.0512,167.190,13.8056,3.34702,-9999,0.505149,3.91731,75.3863,0.295810E-01,-1.55780,0.246871,0,26.3972,-4.00587,9.06129,22.5639,34.4114,48.2624,72.3059,-0.275648,1.01648,-129.067,1.03732,72.3136,1.27750,9.05315,1.27750,1.62258,1.27750,800000099,800000099,800000099,800000099,800000099,800000099,800000199,801000199,81100,81100,80,80,11,20,9,28,36,35,3.43489,3.84476,0.554961,0.225938,0.161256E-02,40.3108,-0.116561,0.905315E-02,1.62258,16.0000,0.00000,249.000,56.2500,283.532,88814.9,1.18581
CH-FRU_202403290100.csv,2024-03-29,03:30,89.1458,0,36000,36000,-0.235592,0,0.242593E-01,-119.511,0,7.47139,72.6050,0,4.52412,4.38733,0,0.580915,1.62911,0,0.101512,-0.353053E-02,0.549258,0.788916E-02,0.123243E-01,-0.188216E-09,-0.261087E-11,16.3097,430.111,432.692,0.300000,0,226.244,5.96637,6.00218,0.300000,0,285.052,284.513,89867.0,1.09794,1008.56,0.263714E-01,0.105567,0.407692E-02,535.308,1340.55,0.371324E-02,39.9319,805.244,271.343,4.43912,2.16060,0.303935,4.94635,0.923802E-13,-0.115401E-13,4.94635,11.4139,154.622,25.9531,3.52284,-9999,0.463224,2.40927,67.1684,0.332001E-01,-1.64604,0.232989,0,28.2690,-4.28994,9.70385,24.1640,36.8516,51.6848,77.4333,-0.232058,1.01523,-112.198,1.03433,60.0313,1.26596,7.80015,1.26596,1.34699,1.26596,800000099,800000099,800000099,800000099,800000099,800100099,800000199,800000199,81100,81100,80,80,29,30,12,11,10,13,2.16336,2.26196,0.393205,0.227500,0.167493E-02,50.8271,-0.101322,0.780015E-02,1.34699,16.0000,0.00000,249.000,56.2500,283.614,88850.5,1.18581
CH-FRU_202403290100.csv,2024-03-29,04:00,89.1666,0,36000,36000,-0.155792,0,0.157281E-01,-115.787,0,7.62267,67.5031,0,4.42025,4.77328,0,0.592799,1.51460,0,0.991793E-01,-0.407575E-01,0.484590,0.534420E-02,0.108730E-01,-0.333699E-10,-0.478801E-12,16.3140,430.212,432.884,0.300000,0,234.079,6.17282,6.21116,0.300000,0,285.044,284.486,89867.0,1.09796,1008.67,0.263707E-01,0.981460E-01,0.421810E-02,553.794,1338.19,0.384177E-02,41.3837,784.400,271.804,3.90465,2.11828,0.214502,4.44740,0.201681E-12,-0.204547E-14,4.44740,11.1529,152.154,28.4800,2.76450,-9999,0.376687,2.01743,37.2819,0.598146E-01,-1.71528,0.277551,0,26.0789,-3.95758,8.95205,22.2919,33.9965,47.6806,71.4342,-0.153362,1.01584,-108.784,1.03516,55.3717,1.28082,7.89987,1.28082,1.24240,1.28082,800000099,800000099,800000099,800000099,800000099,800100099,800000199,800000199,81100,81100,80,80,23,6,4,22,30,22,1.63470,2.08205,0.318092,0.238731,0.168887E-02,47.2372,-0.982270E-01,0.789987E-02,1.24240,16.0000,1.36333,249.000,56.2500,283.525,88846.2,1.18420
CH-FRU_202403290100.csv,2024-03-29,04:30,89.1874,0,36000,36000,-0.196075,1,0.224388E-01,-112.663,0,7.68401,69.7302,0,4.20909,4.40673,0,0.558974,1.56466,0,0.944467E-01,0.910179E-01,0.455751,-0.375177E-02,0.102265E-01,-0.789328E-10,-0.116838E-11,16.3069,430.141,432.897,0.250000,0,241.379,6.36704,6.40784,0.250000,0,285.121,284.545,89867.0,1.09765,1008.78,0.263778E-01,0.101390,0.434964E-02,571.183,1343.45,0.396270E-02,42.5163,772.262,272.226,4.67979,2.62778,0.248259,5.37283,0.142199E-12,-0.484044E-14,5.37283,14.5683,150.660,29.3149,2.64837,-9999,0.422649,2.68089,54.1238,0.412018E-01,-1.61569,0.240736,0,24.9950,-3.79310,8.57999,21.3654,32.5836,45.6989,68.4653,-0.192848,1.01674,-105.413,1.03761,56.9707,1.28371,7.45180,1.28371,1.27835,1.28371,800000099,800000099,800000099,800000099,800000099,800100099,800000199,800000199,81100,81100,80,80,21,10,9,4,11,10,2.57889,2.33761,0.445288,0.204892,0.132540E-02,39.1237,-0.951996E-01,0.745180E-02,1.27835,16.0000,0.00000,249.000,56.2500,283.727,88875.4,1.18679
CH-FRU_202403290100.csv,2024-03-29,05:00,89.2082,0,36000,36000,-0.227246,1,0.244437E-01,-120.548,0,8.53902,82.8254,0,5.70822,5.17362,0,0.690219,1.85864,0,0.128095,0.119096,0.536822,0.126331E-01,0.120465E-01,0.315372E-09,0.483331E-11,16.3104,430.381,433.239,0.300000,0,249.969,6.59590,6.63970,0.300000,0,285.219,284.623,89867.0,1.09725,1008.91,0.263869E-01,0.120440,0.450444E-02,591.671,1350.35,0.410519E-02,43.8163,758.675,272.708,4.85722,1.87927,0.295615,5.21631,-0.204216E-12,0.193357E-13,5.21631,14.1113,158.398,21.1534,3.24877,-9999,0.455087,3.70469,63.1489,0.353134E-01,-1.45545,0.239282,0,24.7017,-3.74858,8.47930,21.1147,32.2012,45.1626,67.6618,-0.223677,1.01595,-112.568,1.03596,67.9321,1.27395,8.33271,1.27395,1.52443,1.27395,800000099,800000099,800000099,800100099,800000099,800100099,800000199,800000199,80000,81000,80,80,15,11,15,5,7,10,3.44517,3.43249,0.531724,0.204276,0.161274E-02,55.0480,-0.101685,0.833271E-02,1.52443,16.0000,0.00000,249.000,56.2500,283.966,88866.6,1.18940
CH-FRU_202403290100.csv,2024-03-29,05:30,89.2291,0,36000,36000,-0.282049,1,0.258044E-01,-107.730,0,6.06766,77.7702,0,4.10514,4.67698,0,0.482188,1.74548,0,0.921364E-01,0.265188,0.377511,-0.157660E-01,0.847291E-02,-0.728582E-10,-0.114467E-11,16.2883,430.081,433.007,0.300000,0,255.905,6.75698,6.80295,0.300000,0,285.406,284.796,89867.0,1.09652,1009.00,0.264042E-01,0.113107,0.461141E-02,606.090,1365.85,0.420549E-02,44.3747,759.756,273.039,5.54855,1.81205,0.381495,5.84940,-0.770086E-13,-0.447303E-14,5.84940,13.6200,161.231,18.0861,3.73946,-9999,0.507170,3.60721,97.8099,0.227993E-01,-1.38523,0.191988,0,26.0725,-3.95660,8.94984,22.2864,33.9881,47.6688,71.4166,-0.277501,1.01639,-100.287,1.03732,63.6648,1.27455,7.45100,1.27455,1.42890,1.27455,800000099,800000099,800000099,800000099,800000099,800000099,800000199,800000199,81100,81100,80,80,14,19,7,15,22,17,3.22025,3.41717,0.576987,0.124963,0.100292E-02,35.3230,-0.906440E-01,0.745100E-02,1.42890,16.0000,0.00000,249.000,56.2500,284.294,88843.6,1.19435
