period,ch4_tlag_s,ch4_hdi_lo_s,ch4_hdi_hi_s,ch4_hdi_range_s,ch4_tlag_pw_s,ch4_corr_est,ch4_ar_order,n2o_tlag_s,n2o_hdi_lo_s,n2o_hdi_hi_s,n2o_hdi_range_s,n2o_tlag_pw_s,n2o_corr_est,n2o_ar_order,ch4_pwbopt_s_std,ch4_flag_std,n2o_pwbopt_s_std,n2o_flag_std,ch4_pwbopt_s_pf,ch4_flag_pf,n2o_pwbopt_s_pf,n2o_flag_pf
period_00,1.55,1.35,1.65,0.2999999999999998,1.55,0.06906550017257175,3,1.45,1.35,1.45,0.09999999999999987,1.45,0.15066982978943444,2,1.55,S1_optimal,1.45,S1_optimal,1.55,S1_optimal,1.45,S1_optimal
period_01,1.5,1.35,1.6,0.25,1.25,0.0025438805877587758,2,1.4,1.35,1.5,0.1499999999999999,1.4,0.11688317809600801,3,1.5,S1_optimal,1.4,S1_optimal,1.5,S1_optimal,1.4,S1_optimal
period_02,1.55,1.55,1.7,0.1499999999999999,1.65,0.013586520429852722,6,1.5,1.4,1.6,0.20000000000000018,1.55,0.1694827248124149,5,1.55,S1_optimal,1.5,S1_optimal,1.55,S1_optimal,1.5,S1_optimal
period_03,1.5,1.35,1.65,0.2999999999999998,1.45,0.12475598857723189,3,1.45,1.35,1.55,0.19999999999999996,1.5,0.20948794479490987,4,1.5,S1_optimal,1.45,S1_optimal,1.5,S1_optimal,1.45,S1_optimal
period_04,1.45,1.3,1.7,0.3999999999999999,1.5,0.8413844643601606,2,1.55,1.45,1.6,0.15000000000000013,1.5,0.18432706388283646,5,1.45,S1_optimal,1.55,S1_optimal,1.45,S1_optimal,1.55,S1_optimal
period_05,1.55,1.3,1.65,0.34999999999999987,1.7,0.008533587058482905,3,1.55,1.45,1.6,0.15000000000000013,1.55,0.1266769462170984,2,1.55,S1_optimal,1.55,S1_optimal,1.55,S1_optimal,1.55,S1_optimal
period_06,1.35,1.3,1.65,0.34999999999999987,1.3,0.0026103611216569374,3,1.6,1.4,7.85,6.449999999999999,1.55,0.09814601287522881,1,1.35,S1_optimal,1.6,S2_optimal,1.35,S1_optimal,1.55,S3_unreliable
period_07,1.6,1.35,1.65,0.2999999999999998,1.65,0.00249858185732553,6,1.45,1.4,1.5,0.10000000000000009,1.4,0.10679864914433283,1,1.6,S1_optimal,1.45,S1_optimal,1.6,S1_optimal,1.45,S1_optimal
period_08,1.4,1.4,1.45,0.050000000000000044,1.35,0.017581438713171627,3,1.45,1.35,1.55,0.19999999999999996,1.45,0.10325794322465803,2,1.4,S1_optimal,1.45,S1_optimal,1.4,S1_optimal,1.45,S1_optimal
period_09,1.5,1.35,1.65,0.2999999999999998,1.35,0.017528398221528057,3,1.5,1.4,1.6,0.20000000000000018,1.55,0.10251493810062833,1,1.5,S1_optimal,1.5,S1_optimal,1.5,S1_optimal,1.5,S1_optimal
period_10,1.45,1.4,1.6,0.20000000000000018,1.5,0.6150994734505765,4,1.45,-2.85,1.5,4.35,1.45,0.11489372379824374,8,1.45,S1_optimal,1.45,S2_optimal,1.45,S1_optimal,1.5,S3_unreliable
period_11,1.55,1.4,1.55,0.15000000000000013,1.5,0.5615608034200866,6,1.45,1.4,7.85,6.449999999999999,1.45,0.09547820542967125,3,1.55,S1_optimal,1.45,S2_optimal,1.55,S1_optimal,1.5,S3_unreliable
period_12,1.45,1.4,1.6,0.20000000000000018,1.45,0.26807915187909004,4,1.55,-4.35,3.85,8.2,1.5,0.07642318610467976,0,1.45,S1_optimal,1.55,S2_optimal,1.45,S1_optimal,1.5,S3_unreliable
period_13,1.55,1.5,1.55,0.050000000000000044,1.55,0.27929418915505444,7,1.4,1.3,3.3,1.9999999999999998,1.45,0.06751358706082443,0,1.55,S1_optimal,1.4,S2_optimal,1.55,S1_optimal,1.5,S3_unreliable
period_14,1.5,1.45,1.5,0.050000000000000044,1.55,0.25240633566717346,5,4.3,-5.5,6.3,11.8,4.3,-0.05125953032284208,0,1.5,S1_optimal,1.4,S3_unreliable,1.5,S1_optimal,1.5,S3_unreliable
period_15,1.5,1.5,1.55,0.050000000000000044,1.5,0.3417246477932009,9,-2.15,-9.05,6.05,15.100000000000001,1.75,0.03134853005347315,0,1.5,S1_optimal,1.4,S3_unreliable,1.5,S1_optimal,1.5,S3_unreliable
period_16,1.55,1.5,1.55,0.050000000000000044,1.55,0.21376903436626374,5,1.55,-5.55,3.55,9.1,1.6,0.0538823978277004,0,1.55,S1_optimal,1.55,S2_optimal,1.55,S1_optimal,1.5,S3_unreliable
period_17,1.65,1.55,1.65,0.09999999999999987,1.6,0.13404216699564597,5,-5.5,-9.5,3.6,13.1,-0.45,-0.03500240339454742,4,1.65,S1_optimal,1.55,S3_unreliable,1.65,S1_optimal,1.5,S3_unreliable
period_18,1.45,1.35,1.5,0.1499999999999999,1.4,0.07549204992577503,0,2.6,-7.95,6.2,14.15,6.5,-0.03306905315917675,4,1.45,S1_optimal,1.55,S3_unreliable,1.45,S1_optimal,1.5,S3_unreliable
period_19,1.8,-8.2,8.35,16.549999999999997,1.5,0.04540686972417199,2,7.3,-8.05,8.3,16.35,-1.05,0.02790652971552205,0,1.8,S2_optimal,1.55,S3_unreliable,1.45,S3_unreliable,1.5,S3_unreliable
