 

stn;time;tre200y0
DAV;1864;0.6
DAV;1865;1.7
DAV;1866;2.1
DAV;1867;2.2
DAV;1868;2.5
DAV;1869;2.2
DAV;1870;1.6
DAV;1871;1.3
DAV;1872;3.0
DAV;1873;2.7
DAV;1874;2.2
DAV;1875;2.5
DAV;1876;2.9
DAV;1877;2.5
DAV;1878;1.9
DAV;1879;1.9
DAV;1880;3.7
DAV;1881;3.5
DAV;1882;3.7
DAV;1883;2.6
DAV;1884;3.5
DAV;1885;3.6
DAV;1886;3.2
DAV;1887;2.3
DAV;1888;3.2
DAV;1889;3.8
DAV;1890;2.4
DAV;1891;2.4
DAV;1892;3.0
DAV;1893;3.2
DAV;1894;3.2
DAV;1895;3.0
DAV;1896;2.5
DAV;1897;3.6
DAV;1898;3.9
DAV;1899;3.5
DAV;1900;4.0
DAV;1901;3.0
DAV;1902;3.3
DAV;1903;3.0
DAV;1904;3.8
DAV;1905;2.8
DAV;1906;2.9
DAV;1907;3.2
DAV;1908;3.0
DAV;1909;2.1
DAV;1910;2.6
DAV;1911;3.3
DAV;1912;2.5
DAV;1913;3.0
DAV;1914;2.7
DAV;1915;2.7
DAV;1916;2.9
DAV;1917;2.0
DAV;1918;3.1
DAV;1919;1.8
DAV;1920;3.7
DAV;1921;3.8
DAV;1922;2.4
DAV;1923;3.2
DAV;1924;2.7
DAV;1925;2.8
DAV;1926;3.6
DAV;1927;3.4
DAV;1928;3.6
DAV;1929;2.9
DAV;1930;3.7
DAV;1931;2.5
DAV;1932;3.1
DAV;1933;2.5
DAV;1934;4.0
DAV;1935;2.5
DAV;1936;3.2
DAV;1937;3.2
DAV;1938;3.1
DAV;1939;2.9
DAV;1940;2.1
DAV;1941;2.4
DAV;1942;3.1
DAV;1943;3.8
DAV;1944;2.4
DAV;1945;3.2
DAV;1946;3.7
DAV;1947;4.3
DAV;1948;3.9
DAV;1949;3.9
DAV;1950;3.5
DAV;1951;3.6
DAV;1952;3.0
DAV;1953;3.5
DAV;1954;2.6
DAV;1955;2.7
DAV;1956;1.7
DAV;1957;3.7
DAV;1958;3.3
DAV;1959;3.9
DAV;1960;3.5
DAV;1961;4.4
DAV;1962;2.2
DAV;1963;2.5
DAV;1964;3.6
DAV;1965;2.4
DAV;1966;3.1
DAV;1967;3.3
DAV;1968;3.2
DAV;1969;3.2
DAV;1970;2.8
DAV;1971;3.7
DAV;1972;3.4
DAV;1973;3.2
DAV;1974;3.2
DAV;1975;3.6
DAV;1976;3.3
DAV;1977;3.4
DAV;1978;2.6
DAV;1979;2.6
DAV;1980;2.1
DAV;1981;2.6
DAV;1982;3.3
DAV;1983;3.4
DAV;1984;2.3
DAV;1985;2.6
DAV;1986;3.1
DAV;1987;3.0
DAV;1988;3.5
DAV;1989;4.2
DAV;1990;3.8
DAV;1991;3.2
DAV;1992;3.7
DAV;1993;3.4
DAV;1994;4.6
DAV;1995;3.2
DAV;1996;3.1
DAV;1997;4.2
DAV;1998;3.6
DAV;1999;3.6
DAV;2000;4.3
DAV;2001;3.7
DAV;2002;4.4
DAV;2003;4.3
DAV;2004;3.5
DAV;2005;3.0
DAV;2006;4.2
DAV;2007;4.1
DAV;2008;3.8
DAV;2009;3.8
DAV;2010;2.7
DAV;2011;4.7
DAV;2012;3.9
DAV;2013;3.6
DAV;2014;4.8
DAV;2015;4.8
DAV;2016;4.4
DAV;2017;4.2
DAV;2018;5.0
DAV;2019;4.5
DAV;2020;4.9
DAV;2021;3.7
DAV;2022;5.3
DAV;2023;5.2

